Date,Actual/ True,ARIMA,Prophet,LSTM,GRU,linear SVR,Non-linear SVR,RBF SVR
21/11/19,11968.4,11987.58569,11574.82496,11975.44238,12074.06738,12038.73569,12038.65833,11990.98154
22/11/19,11914.4,11989.07308,11678.96459,11934.63281,12014.81055,12026.83065,12028.23555,11975.95787
25/11/19,12073.75,11994.94195,11796.09568,11894.14356,11969.18457,11966.56418,11968.13775,11918.72143
26/11/19,12037.7,11992.07781,12008.27531,12007.89746,12159.72168,12082.5171,12084.55881,12016.32154
27/11/19,12100.7,11981.4359,12246.24732,11993.51172,12117.50879,12125.82986,12132.42649,12046.6835
28/11/19,12151.15,11995.08456,12374.0805,12015.4209,12181.86523,12117.59764,12114.99187,12071.40154
29/11/19,12056.05,11996.42909,12504.23467,12020.25391,12196.11231,12162.05135,12158.89975,12113.40406
02/12/19,12048.2,12003.98294,12359.00512,12017.11816,12186.86816,12140.86047,12147.37903,12060.24511
06/12/19,11921.5,12008.56212,12258.83803,11986.18652,12096.0752,12131.57223,12137.13758,12056.02842
12/12/19,11971.8,12005.75881,12323.46103,11913.87598,11991.4209,12045.29654,12056.96492,11954.47011
13/12/19,12086.7,12019.83108,12225.2853,11975.91602,12074.82813,12006.1259,12005.56527,11962.50965
16/12/19,12053.95,11987.05808,12522.41163,12015.16309,12181.10645,12100.97333,12098.93873,12053.18588
